DAERAH,NAM_BAHAGI,Bilangan Pengundi
DAERAH ASAJAYA,BAHAGIAN SAMARAHAN,31999
DAERAH BAU,BAHAGIAN KUCHING,45593
DAERAH BELAGA,BAHAGIAN KAPIT,20371
DAERAH BELURU,BAHAGIAN MIRI,21640
DAERAH BETONG,BAHAGIAN BETONG,42685
DAERAH BINTULU,BAHAGIAN BINTULU,89857
DAERAH BUKIT MABONG,BAHAGIAN KAPIT,16825
DAERAH DALAT,BAHAGIAN MUKAH,20837
DAERAH DARO,BAHAGIAN MUKAH,17436
DAERAH GEDONG,BAHAGIAN SAMARAHAN,10848
DAERAH JULAU,BAHAGIAN SARIKEI,18300
DAERAH KABONG,BAHAGIAN BETONG,21636
DAERAH KANOWIT,BAHAGIAN SIBU,32165
DAERAH KAPIT,BAHAGIAN KAPIT,33520
DAERAH KUCHING,BAHAGIAN KUCHING,455188
DAERAH LAWAS,BAHAGIAN LIMBANG,35288
DAERAH LIMBANG,BAHAGIAN LIMBANG,43784
DAERAH LINGGA,BAHAGIAN SRI AMAN,6177
DAERAH LUBOK ANTU,BAHAGIAN SRI AMAN,28458
DAERAH LUNDU,BAHAGIAN KUCHING,32113
DAERAH MARADONG,BAHAGIAN SARIKEI,29765
DAERAH MARUDI,BAHAGIAN MIRI,16010
DAERAH MATU,BAHAGIAN MUKAH,19955
DAERAH MIRI,BAHAGIAN MIRI,187190
DAERAH MUKAH,BAHAGIAN MUKAH,30636
DAERAH PAKAN,BAHAGIAN SARIKEI,15577
DAERAH PANTU,BAHAGIAN SRI AMAN,10920
DAERAH PUSA,BAHAGIAN BETONG,23179
DAERAH SAMARAHAN,BAHAGIAN SAMARAHAN,57458
DAERAH SARATOK,BAHAGIAN BETONG,24826
DAERAH SARIKEI,BAHAGIAN SARIKEI,48289
DAERAH SEBAUH,BAHAGIAN BINTULU,19608
DAERAH SEBUYAU,BAHAGIAN SAMARAHAN,14298
DAERAH SELANGAU,BAHAGIAN SIBU,25979
DAERAH SERIAN,BAHAGIAN SERIAN,66836
DAERAH SIBU,BAHAGIAN SIBU,202818
DAERAH SIBURAN,BAHAGIAN SERIAN,36408
DAERAH SIMUNJAN,BAHAGIAN SAMARAHAN,9522
DAERAH SONG,BAHAGIAN KAPIT,16527
DAERAH SRI AMAN,BAHAGIAN SRI AMAN,36526
DAERAH SUBIS,BAHAGIAN MIRI,41396
DAERAH TANJUNG MANIS,BAHAGIAN MUKAH,10528
DAERAH TATAU,BAHAGIAN BINTULU,21494
DAERAH TEBEDU,BAHAGIAN SERIAN,25529
DAERAH TELANG USAN,BAHAGIAN MIRI,21654
